target,file,filter,ra,dec,x,y,mag_aper,e_mag_aper,dist,snr
J162810.30-264024.2,iexn05020_drc.fits,F850LP,247.04290181726714,-26.673437379056672,766.3367104621713,868.601284337359,20.159705792683496,0.010189865715801716,2.173232061140264,401.2167663574219
J160731.61-214654.6,iexn06010_drc.fits,F814W,241.88167608033174,-21.781888992957537,767.081803622354,866.9018487619849,22.182585673428246,0.022099535912275314,3.2313504423904598,215.94244384765625
J160731.61-214654.6,iexn06020_drc.fits,F850LP,241.88167571827637,-21.78188931250459,766.8670539876858,867.1667272890257,20.929664783570615,0.02117912843823433,3.051393275467779,187.8885955810547
J155543.75-232028.9,iexn07010_drc.fits,F814W,238.93226869243693,-23.341438129414332,765.8258332746196,868.6256038995128,21.854201500961434,0.0159961748868227,2.5721519377333584,284.8372802734375
J155543.75-232028.9,iexn07020_drc.fits,F850LP,238.9322692884455,-23.34143777329762,765.6089288276715,869.0982380409735,20.710079515884757,0.016868831589818,2.555463946505125,252.46917724609375
J154915.32-244139.1,iexn08010_drc.fits,F814W,237.3138087651073,-24.694251812554015,765.7409290822399,868.2957239881346,22.007756644290577,0.0179824810475111,2.8298335880559455,249.846923828125
J154915.32-244139.1,iexn08020_drc.fits,F850LP,237.31381007929866,-24.694251944045824,765.6199281009499,868.7617251948229,20.915486571120674,0.02041097730398178,2.682921306670082,199.5142822265625
J160918.67-222923.9,iexn09010_drc.fits,F814W,242.3277516372519,-22.49005155708848,762.7437612634061,866.7277660013153,22.00117075300867,0.018723951652646065,6.191571771224016,242.4397735595703
J160918.67-222923.9,iexn09020_drc.fits,F850LP,242.32775224111643,-22.490051911271628,762.6209486849491,866.7964429835416,20.88358983133771,0.020491154864430428,6.260748406352912,191.75314331054688
J160656.33-165644.6,iexn10010_drc.fits,F814W,241.73468914180378,-16.945772988183773,767.150768585369,866.8068612057561,22.110921250798622,0.020701833069324493,3.3041382166763733,217.6063995361328
J160656.33-165644.6,iexn10020_drc.fits,F850LP,241.73469108205887,-16.94577467708435,766.9811612179417,867.1580182661281,20.930441884885212,0.021016914397478104,3.0190880476540354,201.30914306640625
J161407.56-221152.4,iexn11010_drc.fits,F814W,243.53146974954447,-22.19793965615739,767.0943862443437,867.9129650821749,22.4031503269733,0.027111224830150604,2.2750496747665157,184.33047485351562
J161407.56-221152.4,iexn11020_drc.fits,F850LP,243.5314702120973,-22.197939411462357,766.9851918929876,868.2384037892932,21.218588860465914,0.027246927842497826,2.0329920569531548,157.8699951171875
J161754.11-232606.1,iexn12010_drc.fits,F814W,244.47543098532185,-23.435078302935917,766.7479624942483,867.9424058587864,22.213313356995716,0.0201217420399189,2.408587047579015,237.069580078125
J161754.11-232606.1,iexn12020_drc.fits,F850LP,244.4754300636814,-23.435078364158556,766.494290610453,868.3377629815361,20.990129425195242,0.021352117881178856,2.242809102737358,194.8391876220703
J155150.21-213457.4,iexn13020_drc.fits,F850LP,237.95917143838773,-21.58268761835613,766.2978650132814,870.8632298567297,21.078352556714613,0.02298380248248577,1.9085149458574648,172.55340576171875
J155603.59-221159.0,iexn14010_drc.fits,F814W,239.01493794600876,-22.199794733299704,766.9820525086994,867.9332697730302,22.377295530372574,0.025570988655090332,2.3038209405497536,173.56369018554688
J155603.59-221159.0,iexn14020_drc.fits,F850LP,239.01493850189803,-22.19979334355416,766.7527342315484,868.2932590468247,21.282124990715523,0.028427107259631157,2.113914988450796,147.10374450683594
J160425.38-254857.9,iexn15010_drc.fits,F814W,241.10572290644023,-25.816159820521264,764.9364373036431,869.3918031003884,22.299104989491365,0.023929061368107796,3.1233507429052767,191.36695861816406
J160425.38-254857.9,iexn15020_drc.fits,F850LP,241.10572217126466,-25.816158337609515,764.7890895441094,869.8632455917656,21.12779369603699,0.02479988895356655,3.213821358432842,159.10086059570312
J160417.92-193623.2,iexn16010_drc.fits,F814W,241.07464386077822,-19.60650495765452,773.4056832127735,859.5506035078912,22.1603347266695,0.019216984510421753,11.764833107450235,231.97764587402344
J160417.92-193623.2,iexn16020_drc.fits,F850LP,241.0746440271532,-19.60650680073006,773.0007206848085,859.779186304925,20.99931180633996,0.021019628271460533,11.378586905099576,200.85403442382812
J160539.08-240333.0,iexn17010_drc.fits,F814W,241.4127916850368,-24.059221458053376,766.645104051283,869.4163024830297,22.36262020002928,0.025533035397529602,1.4752782189020943,172.77622985839844
J160539.08-240333.0,iexn17020_drc.fits,F850LP,241.4127915562767,-24.059223049799677,766.465514491214,869.8145524940251,21.314966050640543,0.029442131519317627,1.545650851307181,140.99850463867188
J162556.79-211335.4,iexn18010_drc.fits,F814W,246.4866001138065,-21.226566124892162,767.640851645651,867.3589931620829,22.85881500715662,0.03774753957986832,2.665315114270049,134.3977508544922
J162556.79-211335.4,iexn18020_drc.fits,F850LP,246.4865981152957,-21.22656579585916,767.3453845511705,867.7429258178084,21.385062670150177,0.030857384204864502,2.3500862217718703,126.6929931640625
J162058.41-213710.6,iexn19010_drc.fits,F814W,245.243349695869,-21.619679026736232,769.5644432988654,868.5261749163118,22.3870669700238,0.023522786796092987,2.1493355281745603,185.21363830566406
J162058.41-213710.6,iexn19020_drc.fits,F850LP,245.2433505707485,-21.61967977610136,769.2714727839223,868.8492661255407,21.253498851749256,0.026993583887815475,1.7148852702391457,135.05880737304688
J161634.97-221551.3,iexn20010_drc.fits,F814W,244.14568359161655,-22.264326944828472,764.2061930316725,866.5396209578671,22.317610703326036,0.022640859708189964,5.134899651226228,195.29275512695312
J161634.97-221551.3,iexn20020_drc.fits,F850LP,244.1456849630389,-22.26432716427086,763.9651178226073,866.8177904306189,21.156496624662914,0.025150984525680542,5.138748089651978,166.91664123535156
J163930.29-245413.5,iexn21010_drc.fits,F814W,249.87619836425105,-24.90381703109223,764.5985881197296,866.8009246371405,22.270783685911294,0.022255167365074158,4.6694417178608605,171.84652709960938
J163930.29-245413.5,iexn21020_drc.fits,F850LP,249.87619972704815,-24.903817139667765,764.3862119382745,867.2533742094967,21.29570070583231,0.028940292075276375,4.539098741834954,134.86471557617188
J161110.15-214517.1,iexn22010_drc.fits,F814W,242.79224863767234,-21.75480030441718,766.4964825379524,867.528808164153,22.459394668684627,0.025386059656739235,2.8926378702213835,175.64547729492188
J161110.15-214517.1,iexn22020_drc.fits,F850LP,242.7922478679724,-21.75480024459695,766.1378471577588,867.7221154530382,21.346477796852014,0.02953711710870266,2.9421711740064422,142.37403869628906
J154540.24-242207.2,iexn23010_drc.fits,F814W,236.41760701593094,-24.36873738411561,763.6654161226758,866.8511377987038,22.7968713404692,0.036705873906612396,5.357606793365031,116.67504119873047
J154540.24-242207.2,iexn23020_drc.fits,F850LP,236.4176064995484,-24.368736400443698,763.5063929045773,867.1401460285949,21.728429379061645,0.042516499757766724,5.326468761364759,96.3055419921875
J155836.02-190439.3,iexn24010_drc.fits,F814W,239.65004073730321,-19.07763833431732,766.6430480766799,867.423539763583,22.365537396962967,0.023693975061178207,2.911952244120806,192.8378448486328
