,unq_ids,ra,dec,m_f814w,e_f814w,m_f850lp,e_f850lp,type,target
32,32,68.73589484968127,25.66237506714963,23.16477404238775,0.049419205635786,22.04743685820698,0.0568815395236015,1,
33,33,68.36258650177798,24.53251467262981,22.908438567951105,0.0388906151056289,21.682648440122705,0.0401526726782321,1,
34,34,69.40449161185506,23.51860770917543,21.498666880318904,0.0110781574621796,20.243752559205547,0.0108802039176225,1,
35,35,64.9475141072903,28.259534371902877,22.205071863683333,0.0202093068510293,21.0353371035824,0.0220201928168535,1,
36,36,69.78239897631371,26.709936425731236,23.07143380766253,0.0464236475527286,21.699334725401464,0.0407226495444774,1,
37,37,66.18239874268535,27.081478602895107,22.448905337514145,0.0264648981392383,21.080339837786887,0.0237495228648185,1,
38,38,68.08509627346528,22.49820296183884,20.62781933343253,0.0055183954536914,19.375351840275904,0.0052847717888653,1,
39,39,67.95637062155004,27.30792003548923,23.308405878506083,0.0562682449817657,22.126921561799243,0.061357669532299,1,
40,40,63.81145190659944,28.002431766968535,18.640303633985393,0.0007713303784839,17.472517710557064,0.0008280576439574,1,
41,41,68.17581782838133,22.73192891580422,25.16926347602673,0.4006048738956451,23.79064836291695,0.3555141687393188,1,
42,42,71.20594854409359,25.456231598840528,22.559515242773298,0.027889922261238,21.53505222166696,0.0351590625941753,1,
43,43,70.32132932105777,26.090886885614523,23.152142895990348,0.0487654544413089,21.753630037511265,0.0433641262352466,1,
44,44,66.57531494697575,24.635165797886913,23.284230498589952,0.0551516823470592,22.12159402002085,0.0596560984849929,1,
45,45,67.37869821941759,26.742574570787692,22.85913268223099,0.0365802571177482,22.09150075466009,0.0585990734398365,1,
46,46,69.33590673518749,24.38094156269659,23.72105022021344,0.0829105898737907,22.71794938341096,0.1060430258512497,1,
47,47,63.94259742306067,28.136490191136367,25.454326200237023,0.4085219800472259,23.37708666393384,0.1932832300662994,1,
48,48,66.6295764003423,26.47536176166111,23.886371291082938,0.0965982601046562,23.027567434734657,0.1379062086343765,1,
49,49,69.01399083704015,22.454017131070607,24.31309642450747,0.1503106951713562,23.347371282307513,0.1908265799283981,1,
50,50,68.67799384762355,22.961868465021073,24.99363422472987,0.2677929103374481,22.947086863026207,0.1284011900424957,1,
51,51,69.02835805264723,24.43034432500943,20.83911239187881,0.0060766120441257,19.670289589102616,0.0064593129791319,1,
52,52,66.77443071618748,26.25554724625119,21.22379497972386,0.0082189692184329,20.284121854251524,0.0109098702669143,1,
53,53,67.1250939633431,23.98002190252274,19.892332026563142,0.0025224625132977,18.662731155922465,0.0025617440696805,1,
54,54,66.6273624812297,24.732038319931807,18.566279100221433,0.0007177291554398,17.38892947181975,0.0007767825154587,1,
55,55,63.95038724767998,29.19244719052821,19.49570396357039,0.0017052661860361,18.26847063726724,0.0017546545714139,1,
56,56,66.86668417969601,26.201262535847967,19.229156132174097,0.0013590487651526,17.93286199412978,0.0012871242361143,1,
